DayofMonth,UniqueCarrier,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
17,US,73,3,-5,MCO,CLT,468
18,US,76,10,-8,MCO,CLT,468
19,US,75,-3,-4,MCO,CLT,468
14,US,95,26,29,CLT,ORD,599
16,US,87,-10,-4,CLT,ORD,599
17,US,84,-12,-4,CLT,ORD,599
18,US,92,-10,-4,CLT,ORD,599
19,US,94,-12,-4,CLT,ORD,599
15,US,34,-3,-1,MYR,CLT,156
16,US,28,2,-6,MYR,CLT,156
17,US,29,-6,-5,MYR,CLT,156
18,US,32,0,-4,MYR,CLT,156
19,US,32,-2,-3,MYR,CLT,156
17,US,29,0,-4,CLT,CHS,168
18,US,27,-23,-9,CLT,CHS,168
19,US,30,1,1,CLT,CHS,168
13,US,118,-5,-1,DFW,CLT,936
14,US,121,-3,2,DFW,CLT,936
17,US,115,-10,-6,DFW,CLT,936
18,US,124,-5,-9,DFW,CLT,936
19,US,109,-19,-5,DFW,CLT,936
14,US,121,7,24,CLT,IAH,913
16,US,121,10,28,CLT,IAH,913
17,US,146,28,10,CLT,IAH,913
18,US,130,-10,-5,CLT,IAH,913
19,US,135,-2,-5,CLT,IAH,913
15,US,35,-9,-7,RDU,CLT,130
16,US,29,8,12,RDU,CLT,130
17,US,30,-9,-5,RDU,CLT,130
18,US,27,-16,-7,RDU,CLT,130
19,US,28,-15,-2,RDU,CLT,130
14,US,75,-6,7,LGA,GSO,461
16,US,67,-27,-3,LGA,GSO,461
17,US,69,-25,-6,LGA,GSO,461
18,US,61,-34,2,LGA,GSO,461
19,US,71,-31,-10,LGA,GSO,461
14,US,60,-16,-1,CLE,PHL,363
15,US,52,2,29,CLE,PHL,363
16,US,66,-13,-1,CLE,PHL,363
17,US,69,-18,-4,CLE,PHL,363
19,US,69,-6,11,CLE,PHL,363
14,US,20,-2,4,CLT,AVL,92
17,US,22,-8,-3,CLT,AVL,92
14,US,90,-3,11,FLL,CLT,631
16,US,91,-17,-9,FLL,CLT,631
17,US,92,-18,-9,FLL,CLT,631
14,US,118,-15,-1,CLT,DFW,936
15,US,128,-19,-4,CLT,DFW,936
16,US,127,-19,-3,CLT,DFW,936
17,US,130,-14,-4,CLT,DFW,936
18,US,133,2,-5,CLT,DFW,936
19,US,133,-7,-5,CLT,DFW,936
14,US,52,-3,8,CMH,CLT,346
16,US,57,-5,-4,CMH,CLT,346
17,US,55,-8,-5,CMH,CLT,346
18,US,53,-12,-6,CMH,CLT,346
19,US,58,-2,-3,CMH,CLT,346
15,US,132,20,14,FLL,PHL,992
16,US,136,-9,-6,FLL,PHL,992
17,US,135,-6,3,FLL,PHL,992
18,US,151,3,-4,FLL,PHL,992
19,US,154,19,-6,FLL,PHL,992
14,US,63,64,67,PIT,CLT,366
15,US,61,8,2,PIT,CLT,366
17,US,68,18,6,PIT,CLT,366
18,US,63,-1,-4,PIT,CLT,366
19,US,65,-2,-4,PIT,CLT,366
17,US,20,-10,-6,GSO,CLT,83
18,US,18,-6,-6,GSO,CLT,83
19,US,26,-3,-6,GSO,CLT,83
17,US,131,-4,-1,PHL,TPA,920
18,US,125,-11,-5,PHL,TPA,920
19,US,129,-11,-5,PHL,TPA,920
14,US,64,7,8,ORF,PIT,330
16,US,63,34,40,ORF,PIT,330
17,US,63,-8,-4,ORF,PIT,330
18,US,70,0,-3,ORF,PIT,330
19,US,63,-9,-7,ORF,PIT,330
13,US,68,112,103,PIT,IND,325
14,US,52,-11,-3,PIT,IND,325
16,US,48,3,11,PIT,IND,325
17,US,52,-8,-2,PIT,IND,325
18,US,53,-3,-2,PIT,IND,325
19,US,54,19,10,PIT,IND,325
15,US,49,15,18,BUF,LGA,292
16,US,56,-11,0,BUF,LGA,292
17,US,52,-16,-6,BUF,LGA,292
18,US,50,-15,-5,BUF,LGA,292
19,US,51,-19,-7,BUF,LGA,292
16,US,47,-26,-9,LGA,RIC,292
17,US,54,-9,0,LGA,RIC,292
18,US,58,-11,-2,LGA,RIC,292
19,US,59,-13,-2,LGA,RIC,292
16,US,76,-6,-2,CLT,IND,428
17,US,68,-10,2,CLT,IND,428
18,US,78,1,-3,CLT,IND,428
19,US,70,-5,-2,CLT,IND,428
15,US,44,8,24,BDL,PHL,196
17,US,55,5,-2,BDL,PHL,196
18,US,61,-2,-5,BDL,PHL,196
19,US,51,-11,-9,BDL,PHL,196
13,US,136,57,55,PHL,TPA,920
15,US,126,7,19,PHL,TPA,920
16,US,123,-14,1,PHL,TPA,920
17,US,128,-4,-2,PHL,TPA,920
18,US,121,-9,-2,PHL,TPA,920
19,US,128,-17,-1,PHL,TPA,920
11,US,NA,NA,-3,FLL,PIT,994
14,US,133,0,13,FLL,PIT,994
15,US,141,8,11,FLL,PIT,994
16,US,136,-10,2,FLL,PIT,994
18,US,146,-2,-5,FLL,PIT,994
19,US,149,10,3,FLL,PIT,994
15,US,70,0,3,PIT,ORD,412
17,US,65,-9,-3,PIT,ORD,412
17,US,49,-28,-11,BUF,LGA,292
17,US,68,-18,-2,LGA,GSO,461
18,US,69,-19,3,LGA,GSO,461
19,US,78,-8,-8,LGA,GSO,461
13,US,96,-16,12,PHL,ATL,665
15,US,92,-39,-12,PHL,ATL,665
17,US,94,-10,-2,PHL,ATL,665
18,US,92,16,47,PHL,ATL,665
19,US,102,-23,-5,PHL,ATL,665
13,US,79,-16,7,CLT,EWR,529
15,US,72,70,92,CLT,EWR,529
17,US,77,-15,-3,CLT,EWR,529
18,US,76,-22,-4,CLT,EWR,529
19,US,86,-2,7,CLT,EWR,529
11,US,56,-2,-4,CLT,BNA,329
14,US,59,10,19,CLT,BNA,329
15,US,51,-19,-3,CLT,BNA,329
16,US,55,-8,-5,CLT,BNA,329
17,US,58,-6,-3,CLT,BNA,329
18,US,55,18,24,CLT,BNA,329
19,US,86,30,-4,CLT,BNA,329
15,US,118,-14,0,MCO,PHL,861
16,US,110,13,37,MCO,PHL,861
17,US,128,1,7,MCO,PHL,861
18,US,126,-11,0,MCO,PHL,861
19,US,120,-7,-1,MCO,PHL,861
14,US,63,86,57,PHL,BTV,336
15,US,55,104,116,PHL,BTV,336
16,US,56,-14,-4,PHL,BTV,336
17,US,58,10,4,PHL,BTV,336
18,US,55,-18,-1,PHL,BTV,336
19,US,60,-6,-2,PHL,BTV,336
11,US,20,-3,-1,CAK,PIT,70
15,US,19,21,27,CAK,PIT,70
