DayofMonth,UniqueCarrier,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
10,US,73,0,4,MCO,CLT,468
10,US,37,0,-2,PIT,DCA,205
10,US,96,-7,-4,CLT,ORD,599
14,US,95,26,29,CLT,ORD,599
10,US,36,-2,-6,MYR,CLT,156
15,US,34,-3,-1,MYR,CLT,156
10,US,35,-9,-5,CLT,CHS,168
10,US,112,-18,-7,DFW,CLT,936
13,US,118,-5,-1,DFW,CLT,936
14,US,121,-3,2,DFW,CLT,936
10,US,132,-5,-2,CLT,IAH,913
14,US,121,7,24,CLT,IAH,913
10,US,33,-1,0,RDU,CLT,130
15,US,35,-9,-7,RDU,CLT,130
10,US,76,93,90,LGA,GSO,461
14,US,75,-6,7,LGA,GSO,461
10,US,113,-3,-5,DCA,TPA,814
10,US,68,11,-3,SYR,DCA,298
10,US,63,111,132,CLE,PHL,363
14,US,60,-16,-1,CLE,PHL,363
15,US,52,2,29,CLE,PHL,363
10,US,115,7,-4,DCA,TPA,814
10,US,58,-3,-4,SYR,DCA,298
10,US,24,-2,-1,CLT,AVL,92
14,US,20,-2,4,CLT,AVL,92
10,US,94,-14,-7,FLL,CLT,631
14,US,90,-3,11,FLL,CLT,631
10,US,126,-1,1,CLT,DFW,936
14,US,118,-15,-1,CLT,DFW,936
15,US,128,-19,-4,CLT,DFW,936
10,US,57,-6,-3,CMH,CLT,346
14,US,52,-3,8,CMH,CLT,346
10,US,158,20,-6,FLL,PHL,992
15,US,132,20,14,FLL,PHL,992
10,US,62,-5,-6,PIT,CLT,366
14,US,63,64,67,PIT,CLT,366
15,US,61,8,2,PIT,CLT,366
10,US,20,-11,-6,GSO,CLT,83
10,US,121,-22,-5,PHL,TPA,920
10,US,66,-1,-6,ORF,PIT,330
14,US,64,7,8,ORF,PIT,330
10,US,55,-2,-2,PIT,IND,325
13,US,68,112,103,PIT,IND,325
14,US,52,-11,-3,PIT,IND,325
10,US,NA,NA,67,BUF,LGA,292
15,US,49,15,18,BUF,LGA,292
10,US,76,-2,-2,CLT,IND,428
10,US,49,201,188,BDL,PHL,196
15,US,44,8,24,BDL,PHL,196
10,US,121,147,177,PHL,TPA,920
13,US,136,57,55,PHL,TPA,920
15,US,126,7,19,PHL,TPA,920
10,US,129,-27,-7,FLL,PIT,994
11,US,NA,NA,-3,FLL,PIT,994
14,US,133,0,13,FLL,PIT,994
15,US,141,8,11,FLL,PIT,994
10,US,70,4,-1,PIT,ORD,412
15,US,70,0,3,PIT,ORD,412
10,US,55,-16,-6,BUF,LGA,292
10,US,77,-5,-1,LGA,GSO,461
10,US,53,6,-5,DCA,SYR,298
10,US,110,-3,-5,MCO,DCA,759
13,US,96,-16,12,PHL,ATL,665
15,US,92,-39,-12,PHL,ATL,665
10,US,95,229,206,CLT,EWR,529
13,US,79,-16,7,CLT,EWR,529
15,US,72,70,92,CLT,EWR,529
10,US,56,6,-3,CLT,BNA,329
11,US,56,-2,-4,CLT,BNA,329
14,US,59,10,19,CLT,BNA,329
