Stadtgebiet;Bevölkerung;Unter 18-Jährige;Anteil der unter 18-Jährigen in %; 65-Jährige und Ältere;Anteil der 65-Jährigen und Älteren in %;Ausländerinnen und Ausländer;Ausländeranteil in %;Bevölkerung mit Migrations-hintergrund;Anteil der Bevölkerung mit Migrations-hintergrund in %;Unter 18-Jährige mit Migrations-hintergrund;Anteil der unter 18-Jährigen mit Migrations-hintergrund in %;Haushalte;Personen je Haushalt;Einpersonen-haushalte;Anteil der Einpersonen-haushalte in %;Haushalte mit Kindern;Anteil der Haushalte mit Kindern in %;Alleinerziehende;Anteil der Haushalte von Alleinerziehenden in %;Fläche in km²;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Zuzüge aus dem Hamburger Umland;Fortzüge;Fortzüge in das Hamburger Umland;Wanderungssaldo;Sozial-versicherungs-pflichtig Beschäftigte (Dez 2013);Beschäftigten-quote in % (Dez 2013);Arbeitslose (Dez 2013);Arbeitslosenanteil in % (Dez 2013);Jüngere Arbeitslose (Dez 2013);Arbeitslosenanteil Jüngerer in % (Dez 2013);Ältere Arbeitslose (Dez 2013);Arbeitslosenanteil Älterer in % (Dez 2013);Leistungs-empfänger/-innen nach SGB II (Dez 2013);Anteil der Leistungs-empfänger/-innen nach SGB II in % (Dez 2013);Unter 15-Jährige in Mindestsicherung (Dez 2013);Anteil der unter 15-Jährigen in Mindestsicherung in % (Dez 2013);Bedarfs-gemeinschaften nach SGB II (Dez 2013);Lohn- und Einkommen-steuerpflichtige (2010);Durchschnitt-liches Einkommen je Steuerpflichtigen in EUR (2010);Wohngebäude (2013);Wohnungen (2013);Bezugsfertige Wohnungen (2013);Wohnungen in Ein- und Zweifamilien-häusern (2013);Anteil der Wohnungen in Ein- und Zweifamilien-häusern in % (2013);Wohnungsgröße in m² (2013);Wohnfläche je Einwohner/-in in m² (2013);Sozialwohnungen (Jan 2014);Sozialwohnungs-anteil in % (Jan 2014);Sozialwohnungen mit Bindungsauslauf bis 2019;Sozialwohnungen mit Bindungsauslauf bis 2019 in %;Preise für Grundstücke in EUR/m² (Jan 2014);Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2014);Preise für Eigentums-wohnungen in EUR/m² (Jan 2014);Kindergärten und Vorschulklassen (März 2014);Grundschulen (2013/2014);Schülerinnen und Schüler der Sekundarstufe I (2013/2014);Anteil der Schülerinnen und Schüler in Stadtteilschulen und Schulformen mit mehreren Bildungsgängen in % (2013/2014);Anteil der Schülerinnen und Schüler in Gymnasien in % (2013/2014);Niedergelassene Ärzte (Dez 2013);Allgemeinärzte (Dez 2013);Zahnärzte (Nov 2013);Apotheken (Nov 2013);Private PKW (Jan 2014);PKW-Dichte (Jan 2014)
Hamburg-Altstadt; 1 675    ;  162    ; 9,7    ;  219    ; 13,1    ;  341    ; 20,4    ;  664    ; 39,6    ;  101    ; 62,3    ; 1 229    ; 1,4    ;  888    ; 72,3    ;  107    ; 8,7    ;  40    ; 37,4    ; 1,3    ; 1 300    ;  15    ;  12    ;  283    ;  24    ;  306    ;  21    ;-  23    ;  726;54,9;  71;5,4;  10;5,6;  4;2,5;  186;11,1;  49;36,8;  106; 1 728; 26 493;  90; 1 129;  131;  17;1,5;70,2;47,3;  214;19,0;  54;25,2;.;.;.;  1;  0;  50;60,0;34,0;  139;  34;  49;10;  463;  276
HafenCity; 1 914    ;  241    ; 12,6    ;  215    ; 11,2    ;  338    ; 17,7    ;  582    ; 30,3    ;  113    ; 47,1    ; 1 073    ; 1,9    ;  499    ; 46,5    ;  166    ; 15,5    ;  27    ; 16,3    ; 2,4    ;  790    ;  40    ;  8    ;  375    ;  34    ;  304    ;  29    ;  71    ;  788;53,4;  14;0,9;  0;0,0;  0;0,0;  4;0,2;  0;0,0;  3; 1 041; 81 470;  61; 1 069;  54;  6;0,6;95,2;53,2;  0;0,0;  0;0,0;.;.; 6 465;  2;  1;  28;25,0;75,0;  8;  3;  4;1;  704;  368
Neustadt; 12 301    ; 1 334    ; 10,8    ; 1 710    ; 13,9    ; 2 514    ; 20,4    ; 4 299    ; 34,9    ;  665    ; 50,0    ; 8 584    ; 1,5    ; 5 996    ; 69,9    ;  945    ; 11,0    ;  307    ; 32,5    ; 2,2    ; 5 509    ;  134    ;  79    ; 1 645    ;  89    ; 1 718    ;  144    ;-  73    ; 5 094;53,9;  577;6,1;  31;3,2;  77;5,8; 1 171;9,5;  213;18,7;  831; 6 709; 31 180;  633; 7 272;  0;  66;0,9;62,4;36,9; 1 550;21,3;  307;19,8;.;.;.;  11;  1;  383;56,4;39,4;  155;  19;  64;9; 2 965;  241
St. Pauli; 22 392    ; 2 844    ; 12,7    ; 2 072    ; 9,3    ; 4 987    ; 22,3    ; 8 125    ; 36,3    ; 1 499    ; 52,7    ; 15 133    ; 1,5    ; 10 490    ; 69,3    ; 1 881    ; 12,4    ;  616    ; 32,7    ; 2,3    ; 9 744    ;  274    ;  127    ; 3 270    ;  171    ; 3 134    ;  197    ;  136    ; 8 242;46,3; 1 531;8,6;  89;4,4;  160;8,5; 3 448;15,4;  724;28,9; 2 287; 11 067; 25 615; 1 258; 12 292;  53;  164;1,3;63,8;35,0; 2 185;17,8;  816;37,3;  893;.; 4 822;  19;  1;  737;60,5;32,3;  42;  15;  13;7; 4 262;  190
St. Georg; 10 466    ; 1 031    ; 9,9    ; 1 341    ; 12,8    ; 2 338    ; 22,3    ; 3 790    ; 36,1    ;  533    ; 51,6    ; 6 851    ; 1,5    ; 4 702    ; 68,6    ;  695    ; 10,1    ;  169    ; 24,3    ; 1,8    ; 5 700    ;  108    ;  100    ; 1 834    ;  120    ; 1 932    ;  118    ;-  98    ; 4 091;49,7;  484;5,9;  27;2,5;  71;6,8;  893;8,5;  151;16,8;  619; 5 560; 39 261;  518; 5 669;  46;  56;1,0;70,0;37,9;  838;14,8;  187;22,3; 1 446;.; 4 622;  9;  3;  285;44,2;48,1;  105;  39;  15;8; 2 244;  214
Hammerbrook; 2 170    ;  142    ; 6,5    ;  89    ; 4,1    ;  721    ; 33,2    ; 1 013    ; 46,3    ;  107    ; 76,4    ; 1 492    ; 1,4    ; 1 094    ; 73,3    ;  92    ; 6,2    ;  31    ; 33,7    ; 2,5    ;  881    ;  17    ;  11    ; 1 027    ;  52    ;  940    ;  37    ;  87    ;  937;48,0;  185;9,5;  20;3,4;  12;9,8;  383;17,6;  54;42,2;  309;  844; 22 664;  68; 1 038;  0;  5;0,5;63,8;30,5;  114;11,0;  0;0,0;  0;.;.;  4;  1;  37;78,4;18,9;  0;  0;  10;0;  365;  168
Borgfelde; 7 085    ;  619    ; 8,7    ;  988    ; 13,9    ; 1 726    ; 24,4    ; 2 761    ; 39,0    ;  390    ; 63,6    ; 4 283    ; 1,4    ; 3 013    ; 70,3    ;  370    ; 8,6    ;  113    ; 30,5    ; 0,9    ; 8 200    ;  73    ;  59    ; 1 441    ;  91    ; 1 261    ;  82    ;  180    ; 2 863;51,5;  300;5,4;  35;3,0;  37;6,0;  651;9,2;  126;23,5;  452; 3 496; 23 026;  373; 3 986;  71;  35;0,9;57,0;32,1;  163;4,1;  33;20,2;  534;.; 2 055;  5;  0;  185;61,1;30,3;  5;  2;  3;0; 1 639;  231
Hamm; 37 520    ; 4 079    ; 10,9    ; 5 686    ; 15,2    ; 6 422    ; 17,1    ; 12 336    ; 32,9    ; 2 433    ; 60,0    ; 25 783    ; 1,5    ; 17 631    ; 68,4    ; 2 760    ; 10,7    ;  936    ; 33,9    ; 3,8    ; 9 971    ;  395    ;  316    ; 5 044    ;  465    ; 5 424    ;  586    ;-  380    ; 16 836;59,5; 1 791;6,3;  114;2,6;  233;6,8; 4 066;10,8; 1 034;29,4; 2 494; 20 796; 23 447; 2 288; 22 835;  48;  250;1,1;58,5;35,6; 1 182;5,2;  263;22,3;  321; 2 086; 2 228;  14;  4; 1 099;58,8;35,6;  30;  14;  30;7; 10 272;  274
Horn; 37 614    ; 5 569    ; 14,8    ; 6 188    ; 16,5    ; 8 467    ; 22,5    ; 17 232    ; 45,7    ; 3 900    ; 69,9    ; 22 398    ; 1,7    ; 13 107    ; 58,5    ; 3 478    ; 15,5    ; 1 195    ; 34,4    ; 5,8    ; 6 461    ;  378    ;  382    ; 4 579    ;  365    ; 4 649    ;  529    ;-  70    ; 13 755;51,5; 2 286;8,6;  151;2,9;  306;8,0; 6 452;17,2; 1 816;38,5; 3 606; 17 499; 20 043; 2 749; 19 351;  49;  983;5,1;60,9;31,3; 1 661;8,6;  702;42,3;  266; 2 176; 1 815;  15;  6; 1 730;64,6;28,6;  36;  23;  13;7; 9 945;  264
Billstedt; 69 570    ; 13 398    ; 19,3    ; 12 276    ; 17,6    ; 16 153    ; 23,2    ; 36 713    ; 52,7    ; 9 609    ; 71,9    ; 34 448    ; 2,0    ; 15 626    ; 45,4    ; 7 767    ; 22,5    ; 2 423    ; 31,2    ; 16,8    ; 4 131    ;  760    ;  655    ; 6 094    ;  515    ; 5 870    ;  896    ;  224    ; 22 496;48,6; 4 427;9,6;  396;4,6;  655;7,6; 15 417;22,2; 4 830;43,7; 7 461; 29 057; 21 705; 7 726; 31 220;  75; 6 032;19,3;71,9;32,3; 9 219;29,5; 2 047;22,2;  278; 2 165; 1 793;  24;  9; 4 559;67,1;27,3;  92;  43;  35;11; 21 049;  303
